Longitude,Latitude,objectid,dm_name,strucode,nrld_no,dm_lat,dm_long,dm_ncity,dtcode,stcode,rivcode,bacode,dm_type,dm_cmp_yr,dm_length,dm_height,dm_flod_des,dm_spil_type,dm_spil_leng,dm_spil_lev,dm_spil_cap,dm_gate_type,dm_gate_no,dm_gate_sz,dam_vol,dm_coment,uname,dm_cmn_yr,dm_name_al,dm_status,dm_ses_zone,dm_no_river_sluice,dm_sluice_purpose,dm_sluice_sz,dm_mod_oper,dm_inst_inter_ager,dm_inst_inter,dm_perliament,dm_ener_dissp,dm_instru_embed,class,dm_oper_main_age,dm_gt_ungtd,dm_lat_1,dm_long_1,created_user,created_date,last_edited_user,last_edited_date,ltype
86.2955202501893,25.0331853491585,"1",Ajan Dam,D00105,BR02HH0020,25.033076,86.295052,Jamui,Jamui,BR,Ajan,2A,TE,"1989","518.3","39.02",,CH,"76.25","123.32","878.5",UG,,,,,Vineeta,,"Anjan, Azan",Completed,Seismic Zone-IV,,,,,,,Jamui,,,Class 2,"Water Resources Department, Govt.of Bihar",UG,25.03318596,86.29551697,,,,,dam
86.1014641954309,24.8898928647641,"2",Amrity Dam,D00106,BR02MH0004,24.889758,86.102337,Jamui,Jamui,BR,,2A,TE,"1965","166.16","16.65",,,,,"110",,,,,,Vineeta,,"Amrit Dam,Amriti-Shrikhandi-Morway Sch",Completed,Seismic Zone-IV,,,,,,,Jamui,,,CLASS 3,"Water Resources Department, Govt.of Bihar",,24.88989258,86.10146332,,,,,dam
86.6459503825005,24.8870722472203,"3",Badua Dam,D00108,BR02HH0005,24.885,86.638,Banka,Banka,BR,Badua,2A,TE,"1965","457.32","56.66","2833.86",OT,"274.32082735","128.66","2833.86",UG,,,,,Vineeta,,,Completed,Seismic Zone-IV,,,,,,,Banka,,,Class 2,"Water Resources Department, Govt.of Bihar",UG,24.88707161,86.64595032,,,,,dam
83.0356467870377,25.000400244215,"4",Ahraura Dam,D00122,UP13MH0033,24.999896,83.031859,Chunar,Mirzapur,UP,GARAI,2A,TE,"1955","1219.5","22.87",,OT,,"106.72","1161.47",OT,"23","6.1 x 3.05, 6.1 x 1.83",,,Vishal,"1954",,Completed,Seismic Zone-III,,,,,,,Mirzapur,,,Class 2,"Irrigation Dept., Govt. of UP",,25.00040054,83.03564453,,,,,dam
79.707893679773,25.5887762306702,"5",Maudaha (Swami Brahmanand ) Dam,D00127,UP13MH0115,25.588512,79.707915,Rath,Hamirpur,UP,,2A,TE,"2003","3480","32.6","11328",OG,"162","139.7","11328",,"11",12 x 8.1,"1554",,Vishal,,,Completed,Seismic Zone-II,,,,,,,Hamirpur,,,Class 2,"Irrigation Dept., Govt. of UP",,25.58877563,79.70789337,,,,,dam
82.4183030091554,27.6203504538385,"6",Baghel Khand Dam,D00132,UP13MH0037,27.621437,82.415942,Balrampur,Balrampur,UP,Jamunahwa,2A,TE,"1957","3200","15.46",,,,,"127.35",,,,"41318",,Vishal,,,Completed,Seismic Zone-IV,,,,,,,Shrawasti,,,CLASS 3,"Irrigation Dept., Govt. of UP",,27.62034988,82.41830444,,,,,dam
76.4468880013287,26.095936998467,"7",Galai Sagar Dam,D00176,,26.095937,76.446888,Sawai Madhopur,Sawai Madhopur,RJ,,2A,TE,,,,,,,,,,,,,,sanjay,,,Completed,Seismic Zone-II,,,,,,,Tonk - Sawai Madhopur,,,CLASS 3,"WRD,Govt. of Rajasthan",,26.09593773,76.44689178,,,,,dam
76.0147789788645,25.8903146024422,"8",Galwa Dam,D00174,RA11MH0055,25.895,76.011,Uniara,Tonk,RJ,Galwa,2A,TE,"1960","5442","16.35","3240",,,,"3240.00",,,,,,sanjay,,,Completed,Seismic Zone-II,,,,,,,Tonk - Sawai Madhopur,,,Class 2,"WRD,Govt. of Rajasthan",,25.8903141,76.01477814,,,,,dam
76.7815137201115,10.4350683820023,"9",Tunacadavu Dam,D00214,KL12HH0031,10.416667,76.766667,Chittur,Palakkad,KL,Tunacadavu,"15",TE + PG,"1965","314","26.91","495.25",OG,,"531.88","495",OT,"3",8.53 x 4.57,"244",Dam Gate type is Lift Gate,jyotsana,,,Completed,Seismic Zone-III,,,,,,,Alathur,,,Class 2,Tamilnadu PWD,,10.43506813,76.78151703,,,,,dam
81.0892417393413,21.856172566065,"10",Belhari Dam,D00218,CG03MH0101,21.857808,81.089539,Kawardha,Kabeerdham,CG,Local,"08",TE,"1983","400","15.64",,,,,"20",,,,,,Sneha,,,Completed,Seismic Zone-II,,,,,,,Rajnandgaon,,,CLASS 3,"WRD,C,Garh",,21.85617256,81.08924103,,,,,dam
