Country,Name,State,Year,Longitude,Latitude
India,Buggavagu Dam,Andhra Pradesh,1961,79.518789,16.564639
India,Donkarai ( S.H.E.S),Andhra Pradesh,1983,81.809533,17.933258
India,Panthulu Cheruvu Dam,Andhra Pradesh,0,78.187181,13.903553
India,Paya Cheruvu Dam,Andhra Pradesh,0,78.450633,13.547358
India,Pedda Rayala Cheruvu Dam,Andhra Pradesh,0,78.719217,13.331164
India,"Peddabadava, Tulasikrishan Dam",Andhra Pradesh,0,79.7049,13.376619
India,Pedderu Dam,Andhra Pradesh,1980,78.328178,13.854956
India,Rayalacheruvu Dam,Andhra Pradesh,0,77.832267,15.054608
India,Thammileru Dam,Andhra Pradesh,1980,80.910908,17.056058
India,Upper Pennar Dam,Andhra Pradesh,1959,77.384689,14.316811
India,Varaha Dam,Andhra Pradesh,1975,82.781528,17.867233
India,Vengalaraya Sagar Dam,Andhra Pradesh,1988,83.3393,18.563489
India,Y.T.Cheruvu Dam,Andhra Pradesh,0,77.648528,15.141797
India,Nagi Dam,Bihar,1958,86.381033,24.809789
India,Orhni Dam,Bihar,2000,86.694619,24.819717
India,Phulwaria Dam,Bihar,1988,85.526953,24.757083
India,Upper Kiul Dam,Bihar,2004,86.194244,24.830281
India,Aji I Dam,Gujarat,1957,70.830105,22.283887
India,Aji II Dam,Gujarat,1988,70.740811,22.33919
India,Aji III Dam,Gujarat,1989,70.701102,22.514639
India,Ajwa Dam,Gujarat,1892,73.262213,22.369291
India,Ambaradi Dam,Gujarat,1975,70.450659,22.164618
India,Anandapar Dam,Gujarat,1975,70.764336,22.430242
India,Anandpar Dam,Gujarat,1907,70.831983,22.313915
India,Arrni Dam,Gujarat,1987,70.199268,22.058249
India,Badi-Padva Dam,Gujarat,1947,72.17606,21.550226
India,Baldeva Dam,Gujarat,1979,73.354455,21.646877
India,Bangawadi Dam,Gujarat,1985,70.701102,22.514639
India,Berachiya Dam,Gujarat,1983,69.1072,23.189755
India,Chhaparvadi-II Dam,Gujarat,1980,70.59888,21.82575
India,Chimnabai-Lake Dam,Gujarat,1906,72.612091,23.937037
India,Chonda Dam,Gujarat,0,71.751378,21.520203
India,Daiminisar Dam,Gujarat,1992,69.770133,21.678652
India,Dantiwada Dam,Gujarat,1965,72.12828,24.335044
India,Daria Dam,Gujarat,1983,73.354455,21.646877
India,Demi I Dam,Gujarat,1961,70.735253,22.551393
India,Deo Dam,Gujarat,1987,73.441005,22.540815
India,Devalia Dam,Gujarat,1967,70.062807,22.978584
India,Devedhari Dam,Gujarat,1975,71.567704,21.955863
India,Dhari Dam,Gujarat,1972,71.074224,22.427719
India,Dhatarwadi-I Dam,Gujarat,1974,71.285808,21.055676
India,Dhingalwada Dam,Gujarat,1982,73.827417,23.306828
India,Dholi Dam,Gujarat,1995,73.354455,21.646877
India,Dhrafad Dam,Gujarat,1997,70.782121,21.413565
India,Domda M.I Dam,Gujarat,1986,70.713217,22.266686
India,Don Dam,Gujarat,1984,69.484727,22.904059
India,Doswada Dam,Gujarat,1912,73.545399,21.137553
India,Edalwada Dam,Gujarat,1990,74.173908,22.754424
India,Falku Dam,Gujarat,1992,71.434472,23.001371
India,Faradi Dam,Gujarat,1963,69.484727,22.904059
India,Fatehgadh Dam,Gujarat,1990,70.651644,23.563223
India,Fodaraness Dam,Gujarat,1972,69.770133,21.678652
India,Fulzar I Dam,Gujarat,1961,70.204254,22.258356
India,Fulzar II Dam,Gujarat,1977,69.867237,22.326263
India,Ghee Dam,Gujarat,1953,69.867237,22.326263
India,Ghelo(I) Dam,Gujarat,1962,71.567704,21.955863
India,Ghodadharoi Dam,Gujarat,1994,70.895007,22.924936
India,Godhatad Dam,Gujarat,1983,68.645445,23.76978
